fdvt@1502b000 | mediatek,fdvt  | status=
fdvt_dma@1502b000 | mediatek,fdvt_dma  | status=
fhctl@1000ce00 | mediatek,fhctl  | status=
fingerprint | mediatek,goodix-fp  | status=
flashlight_core | mediatek,flashlight_core  | status=
flashlights_ha7109 | mediatek,flashlights_ha7109  | status=
flashlights_lm3642 | mediatek,flashlights_lm3642  | status=
flashlights_mt6370 | mediatek,flashlights_mt6370  | status=
flashlights_rt4509 | mediatek,flashlights_rt4509  | status=
fmem_smi@10238000 | mediatek,fmem_smi  | status=
gauge_timer | mediatek,gauge_timer_service  | status=
gce@10238000 | mediatek,gce  | status=
gcpu_rsa@1021a000 | mediatek,gcpu_rsa  | status=
gcu@83060000 | mediatek,gcu  | status=
gic@1023a000 | mediatek,gic  | status=
gpio | mediatek,gpio_usage_mapping  | status=
gpio@10005000 | mediatek,gpio  | status=
gpufreq | mediatek,mt6771-gpufreq  | status=
h_rxbrp@87650000 | mediatek,h_rxbrp  | status=
h_txbrp@876a0000 | mediatek,h_txbrp  | status=
hacc@1000a000 | mediatek,hacc  | status=
hevc_vld@16028000 | mediatek,hevc_vld  | status=
host_power | mediatek,host_power  | status=
hsce@87220000 | mediatek,hsce  | status=
hsce_dc@87420000 | mediatek,hsce_dc  | status=
hseq@87210000 | mediatek,hseq  | status=
hseq_dc@87410000 | mediatek,hseq_dc  | status=
hspasys_1_confg@87200000 | mediatek,hspasys_1_confg  | status=
hspasys_1_mbist@87230000 | mediatek,hspasys_1_mbist  | status=
hspasys_2_confg@87400000 | mediatek,hspasys_2_confg  | status=
hspasys_2_mbist@87440000 | mediatek,hspasys_2_mbist  | status=
hspasys_3_confg@f0910000 | mediatek,hspasys_3_confg  | status=
hspasys_3_mbist@876e0000 | mediatek,hspasys_3_mbist  | status=
hspasys_4_confg@87870000 | mediatek,hspasys_4_confg  | status=
hspasys_4_mbist@878b0000 | mediatek,hspasys_4_mbist  | status=
i2c6@11005000 | mediatek,i2c6  | status=
i2c@11005000 | mediatek,mt6771-i2c  | status=
i2c@11007000 | mediatek,mt6771-i2c  | status=
i2c@11008000 | mediatek,mt6771-i2c  | status=
i2c@11009000 | mediatek,mt6771-i2c  | status=
i2c@1100f000 | mediatek,mt6771-i2c  | status=
i2c@11011000 | mediatek,mt6771-i2c  | status=
i2c@11014000 | mediatek,mt6771-i2c  | status=
i2c@11015000 | mediatek,mt6771-i2c  | status=
i2c@11016000 | mediatek,mt6771-i2c  | status=
i2c@11017000 | mediatek,mt6771-i2c  | status=
i2c@1101a000 | mediatek,mt6771-i2c  | status=
i2c@1101b000 | mediatek,mt6771-i2c  | status=
i2c@1401e000 | mediatek,i2c  | status=
idc_suart@80207000 | mediatek,idc_suart  | status=
idma@82000000 | mediatek,idma  | status=
imgsys1_dfp@1502e000 | mediatek,imgsys1_dfp  | status=
imgsys1_vad@1502e000 | mediatek,imgsys1_vad  | status=
imgsys@15020000 | mediatek,imgsys syscon  | status=
imgsyscq@15020000 | mediatek,imgsyscq  | status=
indec@87810000 | mediatek,indec  | status=
infra_mbist@1020d000 | mediatek,infra_mbist  | status=
infra_md@1021d000 | mediatek,infra_md  | status=
infra_md_cfg@1021d000 | mediatek,infra_md_cfg  | status=
infracfg@1020e000 | mediatek,infracfg  | status=
infracfg_ao@10001000 | mediatek,infracfg_ao syscon  | status=
interrupt-controller@0c000000 | arm,gic-v3  | status=
intpol-controller@0c530620 | mediatek,mt6771-sysirq mediatek,mt6577-sysirq  | status=
iocfg_0@10002000 | mediatek,iocfg_0  | status=
iocfg_1@10002200 | mediatek,iocfg_1  | status=
iocfg_2@10002400 | mediatek,iocfg_2  | status=
iocfg_3@10002600 | mediatek,iocfg_3  | status=
iocfg_4@10002800 | mediatek,iocfg_4  | status=
iocfg_5@10002a00 | mediatek,iocfg_5  | status=
iocfg_6@10002c00 | mediatek,iocfg_6  | status=
ipu0@19180000 | mediatek,ipu0 syscon  | status=
ipu1@19280000 | mediatek,ipu1 syscon  | status=
ipu_adl@19010000 | mediatek,ipu_adl syscon  | status=
ipu_conn@19000000 | mediatek,ipu_conn syscon  | status=
irdma@82cb0000 | mediatek,irdma  | status=
irq_nfc | mediatek,irq_nfc-eint  | status=
irtx@1100d000 | mediatek,irtx  | status=
irtx_pwm | mediatek,irtx-pwm  | status=
kd_camera_hw1@1a040000 | mediatek,imgsensor  | status=okay
kp@10010000 | mediatek,kp  | status=okay
l2c@10f00000 | mediatek,l2c  | status=
l2calmac@85098000 | mediatek,l2calmac  | status=
l2dlbuf@850f0000 | mediatek,l2dlbuf  | status=
l2dlfifomng@850a4000 | mediatek,l2dlfifomng  | status=
l2dlhbdma@85030000 | mediatek,l2dlhbdma  | status=
l2dllmac@85090000 | mediatek,l2dllmac  | status=
l2dlsbdma@85020000 | mediatek,l2dlsbdma  | status=
l2dlsecctl@850b8000 | mediatek,l2dlsecctl  | status=
l2hwlog@85058000 | mediatek,l2hwlog  | status=
l2mbist@85040000 | mediatek,l2mbist  | status=
l2misc@850c0000 | mediatek,l2misc  | status=
l2pseuphy@85050000 | mediatek,l2pseuphy  | status=
l2sec@850b0000 | mediatek,l2sec  | status=
l2sofifomng@850a8000 | mediatek,l2sofifomng  | status=
l2soindma@85060000 | mediatek,l2soindma  | status=
l2sooutdma@85070000 | mediatek,l2sooutdma  | status=
l2sosecctl@850bc000 | mediatek,l2sosecctl  | status=
l2ulbuf@850e0000 | mediatek,l2ulbuf  | status=
l2ulfifomng@850a0000 | mediatek,l2ulfifomng  | status=
l2ulhbdma@85010000 | mediatek,l2ulhbdma  | status=
l2ullmac@85080000 | mediatek,l2ullmac  | status=
l2ulsbdma@85000000 | mediatek,l2ulsbdma  | status=
l2ulsecctl@850b4000 | mediatek,l2ulsecctl  | status=
lcm_en | mediatek,lcmen  | status=
lk_charger | mediatek,lk_charger  | status=
log3g@878a0000 | mediatek,log3g  | status=
m4u@10205000 | mediatek,m4u  | status=
mali@13040000 | mediatek,mali arm,mali-midgard arm,mali-bifrost  | status=
mali_tb@1307f000 | mediatek,mali_tb  | status=
mbist@17040000 | mediatek,mbist  | status=
mbist_ao@10013000 | mediatek,mbist_ao  | status=
mc@16022000 | mediatek,mc  | status=
mc_vmmu@16028000 | mediatek,mc_vmmu  | status=
mcdi@0011b000 | mediatek,mt6771-mcdi  | status=
mcu_misc1cfg@0c530800 | mediatek,mcu_misc1cfg  | status=
mcu_misccfg@0c530400 | mediatek,mcu_misccfg  | status=
mcucfg@0c530000 | mediatek,mcucfg  | status=
mcucfg_mp0_counter@0c530000 | mediatek,mcucfg_mp0_counter  | status=
mcucfg_mp2_counter@0c532000 | mediatek,mcucfg_mp2_counter  | status=
md1_abb_mixedsys@8020c000 | mediatek,md1_abb_mixedsys  | status=
md2_abb_mixedsys@8020c000 | mediatek,md2_abb_mixedsys  | status=
md2g_confg@82c00000 | mediatek,md2g_confg  | status=
md_abm@80260000 | mediatek,md_abm  | status=
md_attr_node | mediatek,md_attr_node  | status=
md_bus_recoder@803c0000 | mediatek,md_bus_recoder  | status=
md_ccif0@1020a000 | mediatek,md_ccif0  | status=
md_ccif1@1020c000 | mediatek,md_ccif1  | status=
md_ccif2@1023d000 | mediatek,md_ccif2  | status=
md_ccif3@1023f000 | mediatek,md_ccif3  | status=
md_cirq@f0070000 | mediatek,md_cirq  | status=
md_clkctl@80120000 | mediatek,md_clkctl  | status=
md_clksw@80150000 | mediatek,md_clksw  | status=
md_config@80000000 | mediatek,md_config  | status=
md_debug1@80080000 | mediatek,md_debug1  | status=
md_debug2@80090000 | mediatek,md_debug2  | status=
md_debug3@800a0000 | mediatek,md_debug3  | status=
md_eint@80110000 | mediatek,md_eint  | status=
md_elm@80250000 | mediatek,md_elm  | status=
md_global_con_dcm@80130000 | mediatek,md_global_con_dcm  | status=
md_gpt@80030000 | mediatek,md_gpt  | status=
md_i2c@80100000 | mediatek,md_i2c  | status=
md_infra_busmon@80320000 | mediatek,md_infra_busmon  | status=
md_lite_gpt@80170000 | mediatek,md_lite_gpt  | status=
md_ost@f00e0000 | mediatek,md_ost  | status=
md_p_dma@80020000 | mediatek,md_p_dma  | status=
md_pcm@80220000 | mediatek,md_pcm  | status=
md_peri_clk_ctl@800c0000 | mediatek,md_peri_clk_ctl  | status=
md_peri_misc@80060000 | mediatek,md_peri_misc  | status=
md_pll_mixedsys@80140000 | mediatek,md_pll_mixedsys  | status=
md_ppc_top@803d0000 | mediatek,md_ppc_top  | status=
md_rgu@f00f0000 | mediatek,md_rgu  | status=
md_sdf_top@801b0000 | mediatek,md_sdf_top  | status=
md_soe@80310000 | mediatek,md_soe  | status=
md_topsm@f00d0000 | mediatek,md_topsm  | status=
md_uart0@80010000 | mediatek,md_uart0  | status=
md_uart1@80330000 | mediatek,md_uart1  | status=
md_uart2@80340000 | mediatek,md_uart2  | status=
mdafe@82cd0000 | mediatek,mdafe  | status=
mdcldma@10014000 | mediatek,mdcldma  | status=
mdcldmain@1021c000 | mediatek,mdcldmain  | status=
mdcldmamisc@1021c800 | mediatek,mdcldmamisc  | status=
mdcldmaout@1021c400 | mediatek,mdcldmaout  | status=
mdinfra_mbist_config@80350000 | mediatek,mdinfra_mbist_config  | status=
mdinfra_misc@803b0000 | mediatek,mdinfra_misc  | status=
mdl1ao@f60f0000 | mediatek,mdl1ao  | status=
mdm_psys_mbistcon@8020e000 | mediatek,mdm_psys_mbistcon  | status=
mdm_psys_misc@8020d000 | mediatek,mdm_psys_misc  | status=
mdp_aal@1401b000 | mediatek,mdp_aal  | status=
mdp_ccorr@1401c000 | mediatek,mdp_ccorr  | status=
mdp_rdma0@14001000 | mediatek,mdp_rdma0  | status=
mdp_rdma1@14002000 | mediatek,mdp_rdma1  | status=
mdp_rsz0@14003000 | mediatek,mdp_rsz0  | status=
mdp_rsz1@14004000 | mediatek,mdp_rsz1  | status=
mdp_tdshp@14007000 | mediatek,mdp_tdshp  | status=
mdp_wdma@14006000 | mediatek,mdp_wdma  | status=
mdp_wrot0@14005000 | mediatek,mdp_wrot0  | status=
mdp_wrot1@14020000 | mediatek,mdp_wrot1  | status=
mdpar_dbgmon@800b0000 | mediatek,mdpar_dbgmon  | status=
mdperi_mbist_config@801a0000 | mediatek,mdperi_mbist_config  | status=
mdsmicfg@803a0000 | mediatek,mdsmicfg  | status=
mdsys_mbist_config@80360000 | mediatek,mdsys_mbist_config  | status=
mfb@1502e000 | mediatek,mfb  | status=
mfg_dfp_60@13020000 | mediatek,mfg_dfp_60  | status=
mfg_tb@13ffef00 | mediatek,mfg_tb  | status=
mfgcfg@13000000 | mediatek,mfgcfg syscon  | status=
mhl@0 | mediatek,extd_dev  | status=
mipi0_bsispi@80205000 | mediatek,mipi0_bsispi  | status=
mipi1_bsispi@80206000 | mediatek,mipi1_bsispi  | status=
mipi_rx_ana_csi0a@11c80000 | mediatek,mipi_rx_ana_csi0a  | status=
mipi_rx_ana_csi0b@11c81000 | mediatek,mipi_rx_ana_csi0b  | status=
mipi_rx_ana_csi1a@11c82000 | mediatek,mipi_rx_ana_csi1a  | status=
mipi_rx_ana_csi1b@11c83000 | mediatek,mipi_rx_ana_csi1b  | status=
mipi_rx_ana_csi2a@11c84000 | mediatek,mipi_rx_ana_csi2a  | status=
mipi_rx_ana_csi2b@11c85000 | mediatek,mipi_rx_ana_csi2b  | status=
mipi_tx0@11e50000 | mediatek,mipi_tx0  | status=
mipi_tx1@10216000 | mediatek,mipi_tx1  | status=
mjc_config@12000000 | mediatek,mjc_config  | status=
mjc_top@12001000 | mediatek,mjc_top  | status=
mmdvfs_pmqos | mediatek,mmdvfs_pmqos  | status=
mmsys_config@14000000 | mediatek,mmsys_config syscon  | status=
mobicore | trustonic,mobicore  | status=
modem_confg@87000000 | mediatek,modem_confg  | status=
modem_lite_confg@83000000 | mediatek,modem_lite_confg  | status=
modem_lite_topsm@83010000 | mediatek,modem_lite_topsm  | status=
modem_temp_share@10018000 | mediatek,modem_temp_share  | status=
modem_topsm@87010000 | mediatek,modem_topsm  | status=
mp0_cpucfg@0c530000 | mediatek,mp0_cpucfg  | status=
mp1_cpucfg@0c530200 | mediatek,mp1_cpucfg  | status=
mp2_ca15m_config@0c532000 | mediatek,mp2_ca15m_config  | status=
mrdump_ext_rst | mediatek, mrdump_ext_rst-eint  | status=okay
msdc0_top@11f50000 | mediatek,msdc0_top  | status=
msdc1_top@11e10000 | mediatek,msdc1_top  | status=
msdc@11230000 | mediatek,msdc  | status=okay
msdc@11240000 | mediatek,msdc  | status=okay
mt6358_gauge | mediatek,mt6358_gauge  | status=
mt_charger | mediatek,mt-charger  | status=
mt_pmic_regulator | mediatek,mt_pmic  | status=
mt_soc_anc_pcm | mediatek,mt_soc_pcm_anc  | status=
mt_soc_btcvsd_rx_pcm | mediatek,mt_soc_btcvsd_rx_pcm  | status=
mt_soc_btcvsd_tx_pcm | mediatek,mt_soc_btcvsd_tx_pcm  | status=
mt_soc_codec_dummy_name | mediatek,mt_soc_codec_dummy  | status=
mt_soc_codec_name | mediatek,mt_soc_codec_63xx  | status=
mt_soc_dai_name | mediatek,mt_soc_dai_stub  | status=
mt_soc_deep_buffer_dl_pcm | mediatek,mt_soc_pcm_deep_buffer_dl  | status=
mt_soc_dl1_awb_pcm | mediatek,mt_soc_pcm_dl1_awb  | status=
mt_soc_dl1_pcm@11220000 | mediatek,mt_soc_pcm_dl1  | status=okay
mt_soc_dl2_pcm | mediatek,mt_soc_pcm_dl2  | status=
mt_soc_dummy_pcm | mediatek,mt_soc_pcm_dummy  | status=
mt_soc_fm_i2s_awb_pcm | mediatek,mt_soc_pcm_fm_i2s_awb  | status=
mt_soc_fm_i2s_pcm | mediatek,mt_soc_pcm_fm_i2s  | status=
mt_soc_fm_mrgtx_pcm | mediatek,mt_soc_pcm_fmtx  | status=
mt_soc_hdmi_pcm | mediatek,mt_soc_pcm_hdmi  | status=
mt_soc_hp_impedance_pcm | mediatek,mt_soc_pcm_hp_impedance  | status=
mt_soc_i2s0_awb_pcm | mediatek,mt_soc_pcm_i2s0_awb  | status=
mt_soc_i2s0_pcm | mediatek,mt_soc_pcm_dl1_i2s0  | status=
mt_soc_i2s0dl1_pcm | mediatek,mt_soc_pcm_dl1_i2s0dl1  | status=
mt_soc_mrgrx_awb_pcm | mediatek,mt_soc_pcm_mrgrx_awb  | status=
mt_soc_mrgrx_pcm | mediatek,mt_soc_pcm_mrgrx  | status=
mt_soc_pcm_dl1_scp_spk | mediatek,mt_soc_pcm_dl1_scp_spk  | status=
mt_soc_pcm_voice_scp | mediatek,mt_soc_pcm_voice_scp  | status=
mt_soc_pcm_voice_ultra | mediatek,mt_soc_pcm_voice_ultra  | status=
mt_soc_pcm_voice_usb | mediatek,mt_soc_pcm_voice_usb  | status=
mt_soc_pcm_voice_usb_echoref | mediatek,mt_soc_pcm_voice_usb_echoref  | status=
mt_soc_routing_dai_name | mediatek,mt_soc_dai_routing  | status=
mt_soc_routing_pcm | mediatek,mt_soc_pcm_routing  | status=
mt_soc_tdmrx_pcm | mediatek,mt_soc_tdm_capture  | status=
mt_soc_ul1_pcm | mediatek,mt_soc_pcm_capture  | status=
mt_soc_ul2_pcm | mediatek,mt_soc_pcm_capture2  | status=
mt_soc_uldlloopback_pcm | mediatek,mt_soc_pcm_uldlloopback  | status=
mt_soc_voice_md1 | mediatek,mt_soc_pcm_voice_md1  | status=
mt_soc_voice_md1_bt | mediatek,mt_soc_pcm_voice_md1_bt  | status=
mt_soc_voice_md2 | mediatek,mt_soc_pcm_voice_md2  | status=
mt_soc_voice_md2_bt | mediatek,mt_soc_pcm_voice_md2_bt  | status=
mt_soc_voip_bt_in | mediatek,mt_soc_pcm_bt_dai  | status=
mt_soc_voip_bt_out | mediatek,mt_soc_pcm_dl1_bt  | status=
mt_soc_vow_barge_in_pcm | mediatek,mt_soc_pcm_vow_barge_in  | status=
mtkfb@0 | mediatek,mtkfb  | status=
nfc | mediatek,nfc-gpio-v2  | status=
nm_miscdev | new-mobi,mt8788-misc_drv  | status=okay
odm | simple-bus  | status=
otg_iddig | mediatek,usb_iddig_bi_eint  | status=okay
owe@1502c000 | mediatek,owe  | status=
owe_dma@1502c000 | mediatek,owe_dma  | status=
patch@82cc0000 | mediatek,patch  | status=
pericfg@10003000 | mediatek,pericfg  | status=
pf_bsi_apb1@80200000 | mediatek,pf_bsi_apb1  | status=
pf_bsi_apb2@80201000 | mediatek,pf_bsi_apb2  | status=
pfc_decode@870d0000 | mediatek,pfc_decode  | status=
pfc_encode@870c0000 | mediatek,pfc_encode  | status=
pinctrl@1000b000 | mediatek,pinctrl  | status=
pmic_clock_buffer_ctrl | mediatek,pmic_clock_buffer  | status=okay
pmu | arm,armv8-pmuv3  | status=
pp_vmmu@16029000 | mediatek,pp_vmmu  | status=
psci | arm,psci-1.0  | status=
psmcu_busmon@80210000 | mediatek,psmcu_busmon  | status=
psmcu_mbist_config@80240000 | mediatek,psmcu_mbist_config  | status=
psmcu_misc@80200000 | mediatek,psmcu_misc  | status=
pwm@11006000 | mediatek,pwm  | status=
pwrap@1000d000 | mediatek,pwrap  | status=
pwrap_md32@10448000 | mediatek,pwrap_md32  | status=
pwrap_mpu@1000d000 | mediatek,pwrap_mpu  | status=
pwrap_p2p@1005e000 | mediatek,pwrap_p2p  | status=
radio_md_cfg | mediatek,radio_md_cfg  | status=
rake_0@87820000 | mediatek,rake_0  | status=
rake_1@87830000 | mediatek,rake_1  | status=
rake_2@87840000 | mediatek,rake_2  | status=
rake_dc@87430000 | mediatek,rake_dc  | status=
rfic1_bsispi@80202000 | mediatek,rfic1_bsispi  | status=
rfic2_bsispi@80203000 | mediatek,rfic2_bsispi  | status=
rsc@15029000 | mediatek,rsc  | status=
rsvd@10009000 | mediatek,rsvd  | status=
rt-pd-manager | mediatek,rt-pd-manager  | status=
rt9465_slave_chr | richtek,rt9465  | status=okay
rxbrp@87660000 | mediatek,rxbrp  | status=
rxdfe@87860000 | mediatek,rxdfe  | status=
rxsrp@87800000 | mediatek,rxsrp  | status=
scp@10500000 | mediatek,scp  | status=okay
scp_cfgreg@105c0000 | mediatek,scp_cfgreg  | status=
scp_cirq_eint@105ca000 | mediatek,scp_cirq_eint  | status=
scp_clk_ctrl@105c4000 | mediatek,scp_clk_ctrl  | status=
scp_dma@105cd000 | mediatek,scp_dma  | status=
scp_dvfs | mediatek,scp_dvfs  | status=
scp_gpio@105c8000 | mediatek,scp_gpio  | status=
scp_i2c0@105c5000 | mediatek,scp_i2c0  | status=
scp_i2c1@105c6000 | mediatek,scp_i2c1  | status=
scp_i2c2@105c7000 | mediatek,scp_i2c2  | status=
scp_intc@105c2000 | mediatek,scp_intc  | status=
scp_mad@105c1000 | mediatek,scp_mad  | status=
scp_spi0@105cf000 | mediatek,scp_spi0  | status=
scp_spi1@105d0000 | mediatek,scp_spi1  | status=
scp_spi2@105d1000 | mediatek,scp_spi2  | status=
scp_timer@105c3000 | mediatek,scp_timer  | status=
scp_uart1@105ce000 | mediatek,scp_uart1  | status=
scp_uart@105c9000 | mediatek,scp_uart  | status=
scpsys@10001000 | mediatek,scpsys  | status=
searcher@87850000 | mediatek,searcher  | status=
security_ao@1001a000 | mediatek,security_ao  | status=
seninf1@1a040000 | mediatek,seninf1  | status=
seninf2@1a041000 | mediatek,seninf2  | status=
seninf3@1a042000 | mediatek,seninf3  | status=
seninf4@1a043000 | mediatek,seninf4  | status=
seninf5@1a044000 | mediatek,seninf5  | status=
seninf6@1a045000 | mediatek,seninf6  | status=
seninf7@1a046000 | mediatek,seninf7  | status=
seninf8@1a047000 | mediatek,seninf8  | status=
seninf_top@1a040000 | mediatek,seninf_top  | status=
serial@11002000 | mediatek,mt6577-uart  | status=okay
serial@11003000 | mediatek,mt6577-uart  | status=
serial@11004000 | mediatek,mt6577-uart  | status=
share_d1@82ca0000 | mediatek,share_d1  | status=
shreg2@83030000 | mediatek,shreg2  | status=
simif1@80040000 | mediatek,simif1  | status=
simif2@80050000 | mediatek,simif2  | status=
sleep@10006000 | mediatek,sleep  | status=
sleep_reg_md@1000f000 | mediatek,sleep_reg_md  | status=
smi_common@14019000 | mediatek,smi_common  | status=
smi_common_ao@10211000 | mediatek,smi_common_ao  | status=
smi_larb0@14017000 | mediatek,smi_larb0  | status=
smi_larb1@16010000 | mediatek,smi_larb1  | status=
smi_larb2@1502f000 | mediatek,smi_larb2  | status=
smi_larb3@1a002000 | mediatek,smi_larb3  | status=
smi_larb4@17010000 | mediatek,smi_larb4  | status=
smi_larb5@15021000 | mediatek,smi_larb5  | status=
smi_larb6@1a001000 | mediatek,smi_larb6  | status=
spi@1100a000 | mediatek,mt6771-spi  | status=
spi@11010000 | mediatek,mt6771-spi  | status=
spi@11012000 | mediatek,mt6771-spi  | status=
spi@11013000 | mediatek,mt6771-spi  | status=
spi@11018000 | mediatek,mt6771-spi  | status=
spi@11019000 | mediatek,mt6771-spi  | status=
sramrom@10214000 | mediatek,sramrom  | status=
sspm@10440000 | mediatek,sspm  | status=
ssusb_ip_sleep | mediatek,usb_ipsleep  | status=okay
sys_cirq@10204000 | mediatek,sys_cirq  | status=
sys_timer@10017000 | mediatek,sys_timer  | status=
syscfg_pctl_0@11f20000 | mediatek,pctl-0-syscfg syscon  | status=
syscfg_pctl_1@11e80000 | mediatek,pctl-1-syscfg syscon  | status=
syscfg_pctl_2@11e70000 | mediatek,pctl-2-syscfg syscon  | status=
